Wavelength,QE183,dQE,QE294
986,0.098112,0.03,0.09720000000000001
988,0.096096,0.03,0.0936
990,0.09408,0.03,0.09000000000000001
992,0.092064,0.03,0.0864
994,0.090048,0.03,0.08280000000000001
996,0.088032,0.03,0.0792
998,0.086016,0.03,0.0756
1000,0.084,0.03,0.07200000000000001
1002,0.0756,0.03,0.06480000000000001
1004,0.0672,0.03,0.057600000000000005
1006,0.0588,0.03,0.05040000000000001
1008,0.0504,0.03,0.0432
1010,0.0419999999999999,0.03,0.036000000000000004
1012,0.0336,0.03,0.028800000000000006
1014,0.0252,0.03,0.0216
1016,0.0167999999999999,0.03,0.014400000000000003
1018,0.0083999999999999,0.03,0.007199999999999998
1020,0.0,0.03,0.0
